"","provider","provider_title","algorithm","algorithm_id","algorithm_title","provider_can_be_activated","provider_is_active","provider_long_name","provider_version","provider_warning","can_cancel","deprecated","group","has_known_issues","help_url","requires_matching_crs","short_description","default_raster_file_extension","default_vector_file_extension","supports_non_file_based_output"
"1","3d","QGIS (3D)","3d:tessellate","tessellate","Tessellate",TRUE,TRUE,"QGIS (3D)",NA,NA,TRUE,FALSE,"Vector geometry",FALSE,NA,FALSE,NA,"tif","gpkg",TRUE
"2","gdal","GDAL","gdal:aspect","aspect","Aspect",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Raster analysis",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"3","gdal","GDAL","gdal:assignprojection","assignprojection","Assign projection",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Raster projections",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"4","gdal","GDAL","gdal:buffervectors","buffervectors","Buffer vectors",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Vector geoprocessing",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"5","gdal","GDAL","gdal:buildvirtualraster","buildvirtualraster","Build virtual raster",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Raster miscellaneous",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"6","gdal","GDAL","gdal:buildvirtualvector","buildvirtualvector","Build virtual vector",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Vector miscellaneous",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"7","gdal","GDAL","gdal:cliprasterbyextent","cliprasterbyextent","Clip raster by extent",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Raster extraction",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"8","gdal","GDAL","gdal:cliprasterbymasklayer","cliprasterbymasklayer","Clip raster by mask layer",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Raster extraction",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"9","gdal","GDAL","gdal:clipvectorbyextent","clipvectorbyextent","Clip vector by extent",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,TRUE,FALSE,"Vector geoprocessing",FALSE,NA,FALSE,NA,"tif","gpkg",FALSE
"10","gdal","GDAL","gdal:clipvectorbypolygon","clipvectorbypolygon","Clip vector by mask layer",TRUE,TRUE,"GDAL (3.4.1)",NA,NA,FALSE,FALSE,"Vector geoprocessing",FALSE,NA,TRUE,NA,"tif","gpkg",FALSE
